date,state,cases_left,deaths_left,cases_right,deaths_right,cases_diff,death_diff
2020-02-25,TO,0.0,0,"","","",""
2020-02-25,SP,0.0,0,"","","",""
2020-02-25,SE,0.0,0,"","","",""
2020-02-25,SC,0.0,0,"","","",""
2020-02-25,RS,0.0,0,"","","",""
2020-02-25,RR,0.0,0,"","","",""
2020-02-25,RO,0.0,0,"","","",""
2020-02-25,RN,0.0,0,"","","",""
2020-02-25,RJ,0.0,0,"","","",""
2020-02-25,PR,0.0,0,"","","",""
2020-02-25,PI,0.0,0,"","","",""
2020-02-25,PE,0.0,0,"","","",""
2020-02-25,PB,0.0,0,"","","",""
2020-02-25,PA,0.0,0,"","","",""
2020-02-25,MT,0.0,0,"","","",""
2020-02-25,MS,0.0,0,"","","",""
2020-02-25,MG,0.0,0,"","","",""
2020-02-25,MA,0.0,0,"","","",""
2020-02-25,GO,0.0,0,"","","",""
2020-02-25,ES,0.0,0,"","","",""
2020-02-25,DF,0.0,0,"","","",""
2020-02-25,CE,0.0,0,"","","",""
2020-02-25,BA,0.0,0,"","","",""
2020-02-25,AP,0.0,0,"","","",""
2020-02-25,AM,0.0,0,"","","",""
2020-02-25,AL,0.0,0,"","","",""
2020-02-25,AC,0.0,0,"","","",""
2020-02-26,TO,0.0,0,"","","",""
2020-02-26,SP,1.0,0,"","","",""
2020-02-26,SE,0.0,0,"","","",""
2020-02-26,SC,0.0,0,"","","",""
2020-02-26,RS,0.0,0,"","","",""
2020-02-26,RR,0.0,0,"","","",""
2020-02-26,RO,0.0,0,"","","",""
2020-02-26,RN,0.0,0,"","","",""
2020-02-26,RJ,0.0,0,"","","",""
2020-02-26,PR,0.0,0,"","","",""
2020-02-26,PI,0.0,0,"","","",""
2020-02-26,PE,0.0,0,"","","",""
2020-02-26,PB,0.0,0,"","","",""
2020-02-26,PA,0.0,0,"","","",""
2020-02-26,MT,0.0,0,"","","",""
2020-02-26,MS,0.0,0,"","","",""
2020-02-26,MG,0.0,0,"","","",""
2020-02-26,MA,0.0,0,"","","",""
2020-02-26,GO,0.0,0,"","","",""
2020-02-26,ES,0.0,0,"","","",""
2020-02-26,DF,0.0,0,"","","",""
2020-02-26,CE,0.0,0,"","","",""
2020-02-26,BA,0.0,0,"","","",""
2020-02-26,AP,0.0,0,"","","",""
2020-02-26,AM,0.0,0,"","","",""
2020-02-26,AL,0.0,0,"","","",""
2020-02-26,AC,0.0,0,"","","",""
2020-02-27,TO,0.0,0,"","","",""
2020-02-27,SP,1.0,0,"","","",""
2020-02-27,SE,0.0,0,"","","",""
2020-02-27,SC,0.0,0,"","","",""
2020-02-27,RS,0.0,0,"","","",""
2020-02-27,RR,0.0,0,"","","",""
2020-02-27,RO,0.0,0,"","","",""
2020-02-27,RN,0.0,0,"","","",""
2020-02-27,RJ,0.0,0,"","","",""
2020-02-27,PR,0.0,0,"","","",""
2020-02-27,PI,0.0,0,"","","",""
2020-02-27,PE,0.0,0,"","","",""
2020-02-27,PB,0.0,0,"","","",""
2020-02-27,PA,0.0,0,"","","",""
2020-02-27,MT,0.0,0,"","","",""
2020-02-27,MS,0.0,0,"","","",""
2020-02-27,MG,0.0,0,"","","",""
2020-02-27,MA,0.0,0,"","","",""
2020-02-27,GO,0.0,0,"","","",""
2020-02-27,ES,0.0,0,"","","",""
2020-02-27,DF,0.0,0,"","","",""
2020-02-27,CE,0.0,0,"","","",""
2020-02-27,BA,0.0,0,"","","",""
2020-02-27,AP,0.0,0,"","","",""
2020-02-27,AM,0.0,0,"","","",""
2020-02-27,AL,0.0,0,"","","",""
2020-02-27,AC,0.0,0,"","","",""
2020-02-28,TO,0.0,0,"","","",""
2020-02-28,SP,1.0,0,"","","",""
2020-02-28,SE,0.0,0,"","","",""
2020-02-28,SC,0.0,0,"","","",""
2020-02-28,RS,0.0,0,"","","",""
2020-02-28,RR,0.0,0,"","","",""
2020-02-28,RO,0.0,0,"","","",""
2020-02-28,RN,0.0,0,"","","",""
2020-02-28,RJ,0.0,0,"","","",""
2020-02-28,PR,0.0,0,"","","",""
2020-02-28,PI,0.0,0,"","","",""
2020-02-28,PE,0.0,0,"","","",""
2020-02-28,PB,0.0,0,"","","",""
2020-02-28,PA,0.0,0,"","","",""
2020-02-28,MT,0.0,0,"","","",""
2020-02-28,MS,0.0,0,"","","",""
2020-02-28,MG,0.0,0,"","","",""
2020-02-28,MA,0.0,0,"","","",""
2020-02-28,GO,0.0,0,"","","",""
2020-02-28,ES,0.0,0,"","","",""
2020-02-28,DF,0.0,0,"","","",""
2020-02-28,CE,0.0,0,"","","",""
2020-02-28,BA,0.0,0,"","","",""
2020-02-28,AP,0.0,0,"","","",""
2020-02-28,AM,0.0,0,"","","",""
2020-02-28,AL,0.0,0,"","","",""
2020-02-28,AC,0.0,0,"","","",""
2020-02-29,TO,0.0,0,"","","",""
2020-02-29,SP,2.0,0,"","","",""
2020-02-29,SE,0.0,0,"","","",""
2020-02-29,SC,0.0,0,"","","",""
2020-02-29,RS,0.0,0,"","","",""
2020-02-29,RR,0.0,0,"","","",""
2020-02-29,RO,0.0,0,"","","",""
2020-02-29,RN,0.0,0,"","","",""
2020-02-29,RJ,0.0,0,"","","",""
2020-02-29,PR,0.0,0,"","","",""
2020-02-29,PI,0.0,0,"","","",""
2020-02-29,PE,0.0,0,"","","",""
2020-02-29,PB,0.0,0,"","","",""
2020-02-29,PA,0.0,0,"","","",""
2020-02-29,MT,0.0,0,"","","",""
2020-02-29,MS,0.0,0,"","","",""
2020-02-29,MG,0.0,0,"","","",""
2020-02-29,MA,0.0,0,"","","",""
2020-02-29,GO,0.0,0,"","","",""
2020-02-29,ES,0.0,0,"","","",""
2020-02-29,DF,0.0,0,"","","",""
2020-02-29,CE,0.0,0,"","","",""
2020-02-29,BA,0.0,0,"","","",""
2020-02-29,AP,0.0,0,"","","",""
2020-02-29,AM,0.0,0,"","","",""
2020-02-29,AL,0.0,0,"","","",""
2020-02-29,AC,0.0,0,"","","",""
2020-03-01,TO,0.0,0,"","","",""
2020-03-01,SP,2.0,0,"","","",""
2020-03-01,SE,0.0,0,"","","",""
2020-03-01,SC,0.0,0,"","","",""
2020-03-01,RS,0.0,0,"","","",""
2020-03-01,RR,0.0,0,"","","",""
2020-03-01,RO,0.0,0,"","","",""
2020-03-01,RN,0.0,0,"","","",""
2020-03-01,RJ,0.0,0,"","","",""
2020-03-01,PR,0.0,0,"","","",""
2020-03-01,PI,0.0,0,"","","",""
2020-03-01,PE,0.0,0,"","","",""
2020-03-01,PB,0.0,0,"","","",""
2020-03-01,PA,0.0,0,"","","",""
2020-03-01,MT,0.0,0,"","","",""
2020-03-01,MS,0.0,0,"","","",""
2020-03-01,MG,0.0,0,"","","",""
2020-03-01,MA,0.0,0,"","","",""
2020-03-01,GO,0.0,0,"","","",""
2020-03-01,ES,0.0,0,"","","",""
2020-03-01,DF,0.0,0,"","","",""
2020-03-01,CE,0.0,0,"","","",""
2020-03-01,BA,0.0,0,"","","",""
2020-03-01,AP,0.0,0,"","","",""
2020-03-01,AM,0.0,0,"","","",""
2020-03-01,AL,0.0,0,"","","",""
2020-03-01,AC,0.0,0,"","","",""
2020-03-02,TO,0.0,0,"","","",""
2020-03-02,SP,2.0,0,"","","",""
2020-03-02,SE,0.0,0,"","","",""
2020-03-02,SC,0.0,0,"","","",""
2020-03-02,RS,0.0,0,"","","",""
2020-03-02,RR,0.0,0,"","","",""
2020-03-02,RO,0.0,0,"","","",""
2020-03-02,RN,0.0,0,"","","",""
2020-03-02,RJ,0.0,0,"","","",""
2020-03-02,PR,0.0,0,"","","",""
2020-03-02,PI,0.0,0,"","","",""
2020-03-02,PE,0.0,0,"","","",""
2020-03-02,PB,0.0,0,"","","",""
2020-03-02,PA,0.0,0,"","","",""
2020-03-02,MT,0.0,0,"","","",""
2020-03-02,MS,0.0,0,"","","",""
2020-03-02,MG,0.0,0,"","","",""
2020-03-02,MA,0.0,0,"","","",""
2020-03-02,GO,0.0,0,"","","",""
2020-03-02,ES,0.0,0,"","","",""
2020-03-02,DF,0.0,0,"","","",""
2020-03-02,CE,0.0,0,"","","",""
2020-03-02,BA,0.0,0,"","","",""
2020-03-02,AP,0.0,0,"","","",""
2020-03-02,AM,0.0,0,"","","",""
2020-03-02,AL,0.0,0,"","","",""
2020-03-02,AC,0.0,0,"","","",""
2020-03-03,TO,0.0,0,"","","",""
2020-03-03,SP,2.0,0,"","","",""
2020-03-03,SE,0.0,0,"","","",""
2020-03-03,SC,0.0,0,"","","",""
2020-03-03,RS,0.0,0,"","","",""
2020-03-03,RR,0.0,0,"","","",""
2020-03-03,RO,0.0,0,"","","",""
2020-03-03,RN,0.0,0,"","","",""
2020-03-03,RJ,0.0,0,"","","",""
2020-03-03,PR,0.0,0,"","","",""
2020-03-03,PI,0.0,0,"","","",""
2020-03-03,PE,0.0,0,"","","",""
2020-03-03,PB,0.0,0,"","","",""
2020-03-03,PA,0.0,0,"","","",""
2020-03-03,MT,0.0,0,"","","",""
2020-03-03,MS,0.0,0,"","","",""
2020-03-03,MG,0.0,0,"","","",""
2020-03-03,MA,0.0,0,"","","",""
2020-03-03,GO,0.0,0,"","","",""
2020-03-03,ES,0.0,0,"","","",""
2020-03-03,DF,0.0,0,"","","",""
2020-03-03,CE,0.0,0,"","","",""
2020-03-03,BA,0.0,0,"","","",""
2020-03-03,AP,0.0,0,"","","",""
2020-03-03,AM,0.0,0,"","","",""
2020-03-03,AL,0.0,0,"","","",""
2020-03-03,AC,0.0,0,"","","",""
2020-03-04,TO,0.0,0,"","","",""
2020-03-04,SP,3.0,0,"","","",""
2020-03-04,SE,0.0,0,"","","",""
2020-03-04,SC,0.0,0,"","","",""
2020-03-04,RS,0.0,0,"","","",""
2020-03-04,RR,0.0,0,"","","",""
2020-03-04,RO,0.0,0,"","","",""
2020-03-04,RN,0.0,0,"","","",""
2020-03-04,RJ,0.0,0,"","","",""
2020-03-04,PR,0.0,0,"","","",""
2020-03-04,PI,0.0,0,"","","",""
2020-03-04,PE,0.0,0,"","","",""
2020-03-04,PB,0.0,0,"","","",""
2020-03-04,PA,0.0,0,"","","",""
2020-03-04,MT,0.0,0,"","","",""
2020-03-04,MS,0.0,0,"","","",""
2020-03-04,MG,0.0,0,"","","",""
2020-03-04,MA,0.0,0,"","","",""
2020-03-04,GO,0.0,0,"","","",""
2020-03-04,ES,0.0,0,"","","",""
2020-03-04,DF,0.0,0,"","","",""
2020-03-04,CE,0.0,0,"","","",""
2020-03-04,BA,0.0,0,"","","",""
2020-03-04,AP,0.0,0,"","","",""
2020-03-04,AM,0.0,0,"","","",""
2020-03-04,AL,0.0,0,"","","",""
2020-03-04,AC,0.0,0,"","","",""
2020-03-05,TO,0.0,0,"","","",""
2020-03-05,SP,6.0,0,"","","",""
2020-03-05,SE,0.0,0,"","","",""
2020-03-05,SC,0.0,0,"","","",""
2020-03-05,RS,0.0,0,"","","",""
2020-03-05,RR,0.0,0,"","","",""
2020-03-05,RO,0.0,0,"","","",""
2020-03-05,RN,0.0,0,"","","",""
2020-03-05,RJ,1.0,0,"","","",""
2020-03-05,PR,0.0,0,"","","",""
2020-03-05,PI,0.0,0,"","","",""
2020-03-05,PE,0.0,0,"","","",""
2020-03-05,PB,0.0,0,"","","",""
2020-03-05,PA,0.0,0,"","","",""
2020-03-05,MT,0.0,0,"","","",""
2020-03-05,MS,0.0,0,"","","",""
2020-03-05,MG,0.0,0,"","","",""
2020-03-05,MA,0.0,0,"","","",""
2020-03-05,GO,0.0,0,"","","",""
2020-03-05,ES,0.0,0,"","","",""
2020-03-05,DF,0.0,0,"","","",""
2020-03-05,CE,0.0,0,"","","",""
2020-03-05,BA,0.0,0,"","","",""
2020-03-05,AP,0.0,0,"","","",""
2020-03-05,AM,0.0,0,"","","",""
2020-03-05,AL,0.0,0,"","","",""
2020-03-05,AC,0.0,0,"","","",""
2020-03-06,TO,0.0,0,"","","",""
2020-03-06,SP,10.0,0,"","","",""
2020-03-06,SE,0.0,0,"","","",""
2020-03-06,SC,0.0,0,"","","",""
2020-03-06,RS,0.0,0,"","","",""
2020-03-06,RR,0.0,0,"","","",""
2020-03-06,RO,0.0,0,"","","",""
2020-03-06,RN,0.0,0,"","","",""
2020-03-06,RJ,1.0,0,"","","",""
2020-03-06,PR,0.0,0,"","","",""
2020-03-06,PI,0.0,0,"","","",""
2020-03-06,PE,0.0,0,"","","",""
2020-03-06,PB,0.0,0,"","","",""
2020-03-06,PA,0.0,0,"","","",""
2020-03-06,MT,0.0,0,"","","",""
2020-03-06,MS,0.0,0,"","","",""
2020-03-06,MG,0.0,0,"","","",""
2020-03-06,MA,0.0,0,"","","",""
2020-03-06,GO,0.0,0,"","","",""
2020-03-06,ES,1.0,0,"","","",""
2020-03-06,DF,0.0,0,"","","",""
2020-03-06,CE,0.0,0,"","","",""
2020-03-06,BA,1.0,0,"","","",""
2020-03-06,AP,0.0,0,"","","",""
2020-03-06,AM,0.0,0,"","","",""
2020-03-06,AL,0.0,0,"","","",""
2020-03-06,AC,0.0,0,"","","",""
